tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0032257,movie,Black Diamonds,Black Diamonds,0,1940,\N,60,"Crime,Drama,Film-Noir"
tt0032258,movie,Black Friday,Black Friday,0,1940,\N,70,"Crime,Drama,Film-Noir"
tt0032505,movie,Gambling on the High Seas,Gambling on the High Seas,0,1940,\N,55,"Crime,Drama,Film-Noir"
tt0032508,movie,Gang War,Gang War,0,1940,\N,63,"Crime,Drama,Film-Noir"
tt0032607,movie,Honeymoon Deferred,Honeymoon Deferred,0,1940,\N,59,"Comedy,Crime,Film-Noir"
tt0032651,movie,Johnny Apollo,Johnny Apollo,0,1940,\N,94,"Crime,Drama,Film-Noir"
tt0032701,movie,The Letter,The Letter,0,1940,\N,95,"Crime,Drama,Film-Noir"
tt0033107,movie,Stranger on the Third Floor,Stranger on the Third Floor,0,1940,\N,64,"Crime,Drama,Film-Noir"
tt0033149,movie,They Drive by Night,They Drive by Night,0,1940,\N,95,"Crime,Drama,Film-Noir"
tt0033161,movie,Three Silent Men,Three Silent Men,0,1940,\N,72,"Crime,Drama,Film-Noir"
tt0033337,movie,Among the Living,Among the Living,0,1941,\N,67,"Drama,Film-Noir,Mystery"
tt0033517,movie,A Date with the Falcon,A Date with the Falcon,0,1942,\N,63,"Crime,Drama,Film-Noir"
tt0033558,movie,Dressed to Kill,Dressed to Kill,0,1941,\N,74,"Crime,Film-Noir,Mystery"
tt0033582,movie,The Face Behind the Mask,The Face Behind the Mask,0,1941,\N,69,"Crime,Drama,Film-Noir"
tt0033608,movie,Flight from Destiny,Flight from Destiny,0,1941,\N,75,"Drama,Film-Noir"
tt0033650,movie,The Gay Falcon,The Gay Falcon,0,1941,\N,67,"Crime,Film-Noir,Mystery"
tt0033740,movie,I Wake Up Screaming,I Wake Up Screaming,0,1941,\N,82,"Crime,Drama,Film-Noir"
tt0033774,movie,Johnny Eager,Johnny Eager,0,1941,\N,107,"Crime,Film-Noir,Mystery"
tt0033802,movie,Ladies in Retirement,Ladies in Retirement,0,1941,\N,91,"Crime,Drama,Film-Noir"
